y,x1,x2,x3,x4,x5,x6,x0,diff
0.0,0.0,3.9286403180804856,4.000275794129938,5.492053163791338,2.795668710035202,5.478228773676531,-9.618284265276305,-9.618284265276305
0.01,0.0006283813688548441,2.94333833171609,6.05005581933444,4.873097515469317,0.9224638494789112,1.1090931160288,-7.971104379624443,-7.981104379624443
0.02,0.0012567627377096883,1.087728149487735,3.717504178145258,0.6861924547894898,4.3817032850248285,1.8920563016219356,2.2182131393711373,2.1982131393711373
0.03,0.0018851441065645324,2.979784451109671,0.42792771219014886,4.169310382351891,3.988336548121696,2.6310327913952323,-1.9453939350023857,-1.9753939350023857
0.04,0.0025135254754193766,2.8409121685927503,3.4303338925785942,1.7934004267117252,5.655432319693597,2.15597647654097,-1.4234143188639437,-1.4634143188639437
0.05,0.0031419068442742207,3.9839378785397117,2.7604793533793304,0.2871702855666638,4.0995600504090035,1.1417689472092518,-9.84388784085904,-9.89388784085904
0.06,0.003770288213129065,0.3619476684603902,4.428831887688942,1.5074869038827712,6.264962247482796,2.7120939879775072,7.503131115068652,7.4431311150686525
0.07,0.004398669581983909,3.2688398807828993,4.485386210885878,2.6304044100263777,3.8557480792933236,4.6261436375093625,8.919878872917613,8.849878872917612
0.08,0.005027050950838753,3.9983906500233735,0.5504620791168434,5.603276666078645,5.12130815616698,2.6718775803707975,-3.4719113257801753,-3.5519113257801753
0.09,0.005655432319693597,0.27585942092727656,0.5831379102972953,5.84771701856318,0.9318895700117339,1.1379986589961228,1.182985693792142,1.0929856937921418
0.1,0.006283813688548441,1.7280487643508213,5.235673565298561,4.940962703305639,4.609177340550282,0.5498336977479886,-8.898719713071559,-8.998719713071559
0.11,0.006912195057403286,4.704691308616218,5.2526398622576425,2.795668710035202,4.723542749681863,4.31446647855736,-8.145381270161778,-8.255381270161777
0.12,0.00754057642625813,3.3128265766027383,5.749061143652969,5.347525448954723,3.099805292560946,1.3943782574888992,-8.064536377897053,-8.184536377897052
0.13,0.008168957795112973,3.552239878136434,2.3777950997467303,4.5532513987222005,3.8387817823342427,3.865173799826146,5.310183762892534,5.1801837628925345
0.14,0.008797339163967818,2.5128970940505218,4.93844917783022,1.1273161757255903,5.203626115486965,2.1069627297702924,9.814606009486551,9.674606009486551
0.15,0.009425720532822663,3.7910247983012746,3.3279077294552546,3.8004505188340976,5.055956493806076,0.8489432293228945,-5.1886470477604885,-5.338647047760489
0.16,0.010054101901677506,0.3657179566735193,2.2489769191314872,6.146826550138085,0.4939077559199075,3.745152958374871,-8.363651323556407,-8.523651323556408
0.17,0.01068248327053235,6.239826992728602,0.6830505479452156,1.6312780335471755,0.47568469622311704,1.750042112260741,10.09218276520357,9.92218276520357
0.18,0.011310864639387195,4.430717031795506,2.7347157172562815,0.8985853574624271,1.769521934695241,5.94888641894881,-7.019231149612452,-7.1992311496124515
