y,x1,x2,x3,x4,x0,diff
0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.6981317007977318,0.6981317007977318,0.6981317007977318,0.6981317007977318,1.0179068439978032,-8.982093156002197
20,1.3962634015954636,1.3962634015954636,1.3962634015954636,1.3962634015954636,12.323594526154878,-7.676405473845122
30,2.0943951023931953,2.0943951023931953,2.0943951023931953,2.0943951023931953,23.597324449011946,-6.402675550988054
40,2.792526803190927,2.792526803190927,2.792526803190927,2.792526803190927,49.48578064766345,9.485780647663447
50,3.490658503988659,3.490658503988659,3.490658503988659,3.490658503988659,40.51421935233664,-9.485780647663361
60,4.1887902047863905,4.1887902047863905,4.1887902047863905,4.1887902047863905,66.40267555098842,6.40267555098842
70,4.886921905584122,4.886921905584122,4.886921905584122,4.886921905584122,77.67640547384507,7.676405473845065
80,5.585053606381854,5.585053606381854,5.585053606381854,5.585053606381854,88.98209315600214,8.982093156002136
90,6.283185307179586,6.283185307179586,6.283185307179586,6.283185307179586,89.99999999999943,-5.684341886080801e-13
